"LOCATION","MEAN_RATE_NEO","MEAN_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","TAX_PPP_LAGGED2","PUBLIC_EXP_LAGGED2","PROP_PUBLIC_HEALTH_EXP_LAGGED2","OOP_PPP_LAGGED3","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","pop","POP_DENS","INCOME_CLASS","LONG","LAT"
"Greece",997.487753828607,998.027985217866,1.38666666666667,0.191734045726208,27801.814937706,67080.3618030265,15460.6277054042,0.088858660180047,754.561412777924,25.9333333333333,0.7,3.18145496144302,18.33899974823,98.5140582519624,99.9581580462548,22.0696665445964,5.87976333333333,19,6.03104333333333,5.36091,-0.1152725,0.462679066666667,-0.147716933333333,0.556021333333333,0.5432985,2.5,6.07106666666667,NA,NA,NA,99,4.56666666666667,100,76.6483333333333,131960,10974065.3940879,83.1620596702627,"H",22.7198134470951,39.066715899714
"Guatemala",989.186274857298,982.519307294126,2.81,0.0479993043946136,3692.55967409597,3819.63929480582,477.136315868735,0.170024740219529,114.778016170347,NA,NA,4.61848019193316,3.46266667048136,64.7342534646182,91.3277970690097,4.62833333015442,3.12438666666667,12.8666666666667,3.23826666666667,22.96472,-0.572982833333333,-0.717102766666667,-0.7436287,-0.1528551,-1.02427223333333,15.9666666666667,NA,52.3,0.533333333333333,0.74,92.6666666666667,0.6,84.9772113439128,48.7013333333333,108890,14769749.2547632,135.639170307312,"LM",-90.3694583605315,15.6993606120269
"Honduras",992.746788372299,993.508388644928,2.98333333333333,0.044687952213258,1840.13967499318,2764.99554615948,499.90887289309,0.128475904064261,66.613245266832,42.8666666666667,6.76666666666667,5.55245212607614,4.1159999370575,75.1125940679893,91.4984894746127,5.66599988937378,3.73836666666667,19,3.39462,NA,-0.890424833333333,-0.625110466666667,-0.412486866666667,-0.183242833333333,-0.974031433333333,15.1666666666667,NA,82.8,0.466666666666667,1.4,97.3333333333333,0.733333333333333,82.2625643333333,52.5433333333333,112490,8203007.93135895,72.9221080216815,"LM",-86.5899638380154,14.8229470816529
"Hungary",997.421718462294,997.719809189686,1.32666666666667,0.168598672265259,22582.9036865476,49372.6806185067,10649.2196202718,0.0966750690348236,413.674366505137,23.3666666666667,0.0666666666666667,4.81254137238559,11.0680001576741,98.0051041452442,99.969335366041,10.7513332366943,7.75266333333333,8.9,7.79928333333333,4.16327666666667,0.3738602,0.656812966666667,0.701610866666667,1.0123569,0.720081333333333,2.5,2.99143333333333,99.0333333333333,0.1,NA,99,7.13333333333333,100,69.3156666666667,93030,9900916.32684812,106.427134546363,"H",19.3576286277459,47.1999511719543
"Iceland",999.037747424689,998.696668883607,2.03333333333333,0.123607815296254,39125.9091556508,84282.1013254736,16020.8197515044,0.153862655064069,514.837372905842,22.0666666666667,0,4.86121922087102,6.86400000254313,98.7845819230246,99.9999974470012,6.19933334986369,7.58708,40.7666666666667,7.57898666666667,3.14271,1.92281633333333,1.55334,1.170432,1.03300703333333,1.69889666666667,2.5,3.51026666666667,97.9666666666667,0.1,NA,93.3333333333333,3.4,100,93.587,103000,319460.933364065,3.10156245984529,"H",-18.7610287708318,65.074276335291
"India",976.103638094877,980.329259073407,2.70666666666667,0.0546498230258424,4934.59367924516,4585.55689656994,1230.7824580896,0.0312932910920854,77.8395203609509,30.1,4.3,10.053398830555,2.55100003878276,44.0295967334088,87.7641469717373,3.50299994150798,4.46975,10.9333333333333,4.61478,NA,-0.505879033333333,-0.0463327333333333,-1.29802966666667,-0.398649633333333,-0.0666834666666667,17.4333333333333,0.700833333333333,NA,NA,14.9633333333333,81,0.7,74.6,31.28,3287260,1269621791.05153,386.224938414221,"LM",79.5937037632538,22.9250064074085
"Indonesia",985.596778893158,986.611922744195,2.24666666666667,0.0507945685433392,8394.90529513981,8627.01604970973,1470.09968373594,0.055680015453709,109.929295123917,31.0333333333333,2.36666666666667,4.92325059797352,5.07833321889242,61.872220660366,85.0656935454096,5.58266655604045,4.68749333333333,18.2666666666667,4.64081,15.5621333333333,-0.697674066666667,-0.248880066666667,-0.739097733333333,-0.348844533333333,-0.602903366666667,11.2666666666667,0.2233,82.65,0.4,10.4433333333333,81.6666666666667,0.75,94.9933333333333,50.595,1910930,244176949.440169,127.779117728106,"LM",117.423407562274,-2.22173793652054
"Ireland",997.856901586894,998.646838287405,1.95666666666667,0.115670082219784,63678.0118607081,105663.678965312,17840.0848725863,0.181068865481661,606.077233806724,25.4333333333333,0.266666666666667,1.11043399193006,15.1129999160767,90.64674701482,97.3250178928619,12.2113332748413,5.92162333333333,14.7,5.81955,0.56043,1.57163,1.45087366666667,0.970078866666667,1.59755766666667,1.75277,2.5,2.64055,99.8,0.2,NA,94.6666666666667,2.9,100,61.742,70280,4650945.24139753,66.1773654154458,"H",-8.01023654487701,53.1805912099501
"Israel",998.034867965002,998.294978673692,2.91333333333333,0.0998405835682902,32875.513978202,71543.8002660285,12756.7685588488,0.112820252855286,457.940001245107,30.45,0.2,2.61975812213769,7.49199978510539,100.00000002399,100.00000002399,7.29266675313314,6.17756,19.7333333333333,6.10903,0.02287,0.8232441,1.33702266666667,-1.20712466666667,1.23705466666667,0.954480366666667,2.5,3.36546666666667,NA,0.1,NA,94.3333333333333,3.13333333333333,100,91.8926666666667,22070,7997148.02790431,362.353784680757,"H",35.003851206429,31.4849193900197
"Italy",998.081550360719,998.642157584235,1.38333333333333,0.20388088604434,34115.8098502759,79796.1660455497,17235.9924330474,0.133626230550662,639.577338943047,26.3,0.866666666666667,2.44917069408115,9.12566661834717,98.7693196080697,99.579115119889,10.3313334782918,8.08990666666667,21.4333333333333,8.16206666666667,0.54563,0.124987266666667,0.413373566666667,0.494449533333333,0.788019833333333,0.433387333333333,2.5,3.8608,99.9,0.3,NA,96.3333333333333,3.5,100,68.485,301340,60537558.7120352,200.894533457341,"H",12.1407883722359,42.7511830529643
"Jamaica",986.577722402045,994.727270167005,1.79333333333333,0.0805156858368464,4242.58481556082,9928.1976478559,1132.39555395639,0.118724226659369,45.2385841062427,NA,NA,9.01248295493528,12.9986667633057,85.4198869645428,90.8983542883762,17.0669994354248,4.773155,12.9,4.585815,NA,-0.217184166666667,0.1500486,-0.124005566666667,0.268800166666667,-0.409438633333333,9,0.3541,99.1,2.03333333333333,NA,94,1.75,92.3048487345378,53.935,10990,2771066.97700636,252.144401911406,"UM",-77.3242548016489,18.1376361278684
"Japan",998.935380052356,998.417368429818,1.33333333333333,0.231946652567477,39915.3536354079,41803.4110761328,15531.3854699183,0.224437700228103,486.248829257233,NA,NA,-0.346517362765944,4.6403333346049,99.9409660950672,98.7689583333333,4.24166663487752,NA,10,NA,NA,1.582909,1.471992,0.9409627,1.080647,1.332082,2.5,2.2605,99.8,0.1,NA,97,13.4,100,91.0096666666667,377955,129833428.676402,343.515573749261,"H",138.064962132708,37.6631108117046
"Jordan",988.860898829064,992.854464610729,3.48333333333333,0.0337827629008095,9041.57004383754,14093.7572524949,3325.4972020122,0.139289228859968,162.776393718049,27.5,0,4.50793353630021,12.5333331425985,97.8217531145988,99.1112558573537,21.0539995829264,4.75650333333333,10.8,4.68622333333333,18.53579,0.0714528666666667,0.0602097,-0.4500108,0.2383922,0.2666635,8.76666666666667,2.2572,99.6,0.1,NA,98,1.8,99.5978749593099,87.1483333333333,89320,7888822.29169034,88.3208944434656,"LM",36.7794549063252,31.2454905847484
"Kazakhstan",992.812829731496,992.170204678791,2.57,0.0661529480721752,6881.56669620773,10088.899925895,1373.73421306853,0.0907563021839375,45.1933468522239,23,0,7.0163506385109,5.48333326975505,97.4644755842972,91.9224636325107,6.44833342234294,7.12238,19.9666666666667,7.08549,0.17212,-0.969493733333333,-0.4287288,-0.0746846,-0.316620466666667,-0.6246752,2.76666666666667,3.49433333333333,99.9633333333333,0.1,NA,99,7.13333333333333,99.7697748111773,56.9,2724901.875,16439127.7242559,6.03292466238106,"UM",67.2846109811001,48.1916607521823
"Korea, Rep.",998.524710262986,998.151481763759,1.25333333333333,0.113536668315743,32642.2426350632,43233.0253111184,9761.67279977414,0.123709627995046,633.402552829154,24,0.15,3.05074960578305,3.43333339691162,100,99.1141380565705,3.1200000445048,5.81004666666667,15.0333333333333,5.82924,0.136256666666667,0.510984133333333,1.218922,0.3351649,0.939197733333333,1.0046854,2.5,2.03523333333333,99.8,NA,0.21,97.3333333333333,10.3,100,81.9033333333333,100070,49811654.1455715,497.768103783067,"H",127.821317128331,36.4275986041549
"Kuwait",995.323468053945,996.99523472845,1.85333333333333,0.0319638748531102,89773.8785277625,7757.91822185846,38343.3423101848,0.0596913197122468,333.224864820093,NA,NA,4.19698412642652,2.09233335653941,100,100,3.44266668955485,6.80817333333333,7.2,6.74060333333333,5.44853666666667,0.0660078333333333,0.040971,0.322232566666667,0.0688869666666667,0.502860766666667,2.5,2.4317,98.7333333333333,0.1,NA,98.3333333333333,2.03333333333333,100,100,17820,3174595.02289677,178.147868849426,"H",47.6000988876264,29.3072666340336
"Latvia",997.514323036675,997.586813817959,1.41,0.183782209298741,21217.7617924864,44019.6594661309,7627.39284346535,0.0857376495777396,349.544758628421,26.6666666666667,0.566666666666667,1.84796296432885,16.9116665522257,90.5157975227219,98.3172437463403,14.6689999898275,6.06864666666667,22,6.09201666666667,0.869583333333333,0.253471266666667,0.7484656,0.4338276,0.986692966666667,0.773434566666667,2.5,3.08543333333333,98.6666666666667,0.333333333333333,NA,91.6666666666667,5.83333333333333,100,67.869,64490,2087587.27829701,32.3707129523494,"H",24.8332961498034,56.8071751342792
"Lebanon",996.520097073301,996.920703536997,2.74666666666667,0.0559842883960659,11789.3709638242,17180.2825989754,3571.25036130392,0.135588762640074,397.740494755193,24.8,0,5.17881320410633,6.43566656112671,89.1134551282051,90.4278478207283,10.5866664250692,4.47581,3.1,4.45066,19.6550266666667,-0.882384233333333,-0.297361466666667,-1.61603833333333,-0.0407642,-0.716544433333333,6,2.8206,NA,0.1,NA,82.3333333333333,3.5,99.8770413304654,87.4846666666667,10450,6819033.22677369,652.539064763033,"UM",35.8709863200164,33.9118272078199
"Lesotho",977.107132833428,967.617750980189,3.09666666666667,0.0446537261126815,2094.27192179498,6949.78410643238,1064.42563613447,0.141508046143618,29.8255615521987,40.9,31.8,4.90745031403163,26.3119996388753,31.8593099251263,68.0618989523072,31.2406673431397,3.13759666666667,25.0333333333333,2.69541333333333,20.4635466666667,0.147107,-0.3322865,0.371638433333333,-0.575269,-0.2580393,13,0.0676,NA,24.2666666666667,NA,94.6666666666667,NA,20.7190074920654,25.2706666666667,30360,1920378.60729569,63.2535773154048,"LM",28.1701052951705,-29.625290493692
"Lithuania",997.68197307378,997.279755330829,1.64666666666667,0.175674638357548,25440.4565882969,38199.3859575167,8505.92813992859,0.116514279642017,378.904359624004,25.3666666666667,0.733333333333333,2.84648946744595,15.5229997634888,90.0872614110958,94.714914080758,13.0019998550415,8.31658,20.9,8.40480666666667,0.39851,0.365943966666667,0.760153933333333,0.7242236,1.00580703333333,0.802578766666667,2.5,4.03063333333333,100,NA,NA,93.3333333333333,7.33333333333333,100,66.7873333333333,65300,3093929.74991043,47.3802411931153,"H",23.8806402758435,55.2843194847661
"Luxembourg",998.85642492149,999.002718018246,1.57666666666667,0.139687480338967,91912.2787479918,228121.607453532,37619.8509175878,0.1279897587726,554.644945634235,24.8,0,2.782401393993,4.80066665013631,97.6337611518675,99.9957334970901,5.7549999554952,7.18308666666667,22.2333333333333,7.07416,2.57256666666667,2.10967233333333,1.71411,1.37018833333333,1.76974433333333,1.82784566666667,2.5,2.763,NA,0.2,NA,99,5.3,100,88.9006666666667,2590,513257.155722752,198.16878599334,"H",5.965223432344,49.765705074151
"Madagascar",973.279082353519,951.609041225201,5.24,0.0228512932205886,33.0065037655843,32.4669368087234,4.76094903139555,0.195275544901821,0.499517929712241,33.9,38.6,8.14790218806054,2.31400005022685,8.25913661232679,47.2535946289337,2.76266658306122,2.58162,14.1666666666667,2.65848,NA,-0.524388466666667,-1.02705116666667,-0.740020566666667,-0.552568866666667,-0.889591033333333,32.4333333333333,0.160666666666667,NA,0.2,54.8966666666667,71,0.2,16.3119922637939,32.5816666666667,587210,21923654.3724224,37.3352878398229,"L",46.6911709147164,-19.3561140778288
"Malawi",974.38330896412,960.998465351009,5.08333333333333,0.0320794745000972,391.309192901729,568.418020812234,104.940364366116,0.32861307325318,2.71760695706601,36.9,34,12.1018928529005,6.29133335749308,24.3001964493674,63.2783258638366,7.62366676330566,1.86973333333333,21.8,1.99667666666667,NA,-0.4585771,-0.4382262,-0.0105677,-0.659436866666667,-0.166447066666667,21.1333333333333,0.019,71.4,10.4666666666667,286.03,95.3333333333333,1.3,7.9,15.676,118480,14712707.3016271,124.178825975921,"L",34.1936053269224,-13.1728349923419
