"LOCATION","INCOME_CLASS","RATE_NEO_2017","RATE_U5_2017","RATE_NEO_U5_2017","RATE_NEO_2016","RATE_U5_2016","RATE_NEO_U5_2016","DELTA_RATE_NEO","DELTA_RATE_U5","DELTA_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","PROP_PUBLIC_HEALTH_EXP_LAGGED2","PUBLIC_EXP_LAGGED2","TAX_PPP_LAGGED3","OOP_PPP_LAGGED4","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","LONG","LAT"
"Finland","H",1.23428796747378,2.24895303279379,1.01466506532002,1.23872353705376,2.25707407440672,1.01835053735296,-0.00443556957998426,-0.0081210416129287,-0.00368547203294511,1.845,0.172545770836249,37500.4924724515,0.128028478077349,21183.2637414208,377.550140995008,596.417320546298,22.55,0,0.592067157093048,8.32149982452393,99.4480190105492,100.000001716085,7.60599994659424,6.618975,40,6.459385,2.079105,2.159788,2.22934,1.423607,1.87564,1.9694915,2.5,2.93345,99.8,0.1,2.3,99,6.1,100,83.5995,338420,26.2117646102964,64.5040940396365
"France","H",2.07363739166177,3.88839203811579,1.81475464645402,2.13505942752376,4.02201800069116,1.8869585731674,-0.0614220358619884,-0.133625962575369,-0.0722039267133805,1.965,0.165788437815856,38677.7723955958,0.154147904699452,21606.57451025,3026.71687226571,383.719876393165,26.6,0,0.809371591183346,8.80350017547607,98.6558628062757,99.9716937032519,8.93650007247925,7.42812,18.9,7.40532,0.62409,1.46638,1.430301,0.6810876,1.312381,1.4862035,2.5,3.21175,97.7,0.3,0.07,98.5,6.75,100,78.243,549086.9921875,-2.87669669927055,42.4607043266338
"Georgia","LM",6.31237313112814,10.9172565999627,4.60488346883461,6.60746030634254,11.4232974835011,4.81583717715859,-0.295087175214406,-0.506040883538383,-0.210953708323976,2.045,0.140486575690666,7192.32565020499,0.081890681769626,1830.80302082079,1455.73057862432,320.461135080154,29.2,3.35,4.53363483431561,17.8549995422363,91.9009786140463,95.5994006943025,16.1895003318786,7.20941,5.8,5.0996,10.79313,0.007957,0.3092597,-0.7183209,0.5938427,-0.2072719,7.35,4.5569,99.75,0.2,0,90,3.05,99.4296836853027,55.3425,69700,43.4815426540903,42.162015014153
"Germany","H",2.23499380334949,3.90379018825842,1.66879638490893,2.26585803876882,3.93100706136543,1.6651490225966,-0.0308642354193358,-0.0272168731070095,0.0036473623123261,1.37,0.205944644319214,43696.8842383215,0.206908097242351,18391.4015997037,1444.82335865282,530.688758941518,24.05,0,0.70827339551492,7.35400009155273,99.2238521751557,99.9999987938552,6.90149998664856,8.917695,32.8,9.12893,0.910435,1.77627,1.571172,0.7968345,1.573053,1.643594,2.5,3.7536,98.3,0.1,1,96,8.2,100,76.8685,357123.49609375,10.2884850927429,51.1337226904078
"Ghana","LM",24.359942855274,50.1098394728639,25.7498966175899,25.8013901041411,53.5882582648467,27.7868681607056,-1.44144724886718,-3.47841879198289,-2.03697154311571,3.85,0.034090776487775,2582.79505474373,0.0972527252056443,4.73013020725221,956.590951213028,37.6761124338157,31.7,3.6,14.9791412761932,5.24600005149841,13.6388842782962,73.8599658393055,5.66700005531311,3.29215,8.3,3.55183,18.31456,0.0115234,-0.0378857,0.0260932,0.1159474,-0.0350647,5.45,0.08995,51.9,1.9,374.15,94,0.9,63.9898834228516,50.372,238540,-1.2369685557064,7.92865181309965
"Greece","H",2.38156881219476,4.25411510943587,1.87254629724112,2.64292353059156,4.71440679761948,2.07148326702792,-0.261354718396805,-0.460291688183607,-0.198936969786802,1.455,0.185955137632459,27801.814937706,0.088858660180047,16895.936472694,2739.75604984986,836.640745854979,25.8,0.6,2.96152868993512,11.1645002365112,98.40502103884,99.9126944326009,14.8499999046326,5.89791,17.3,6.08454,5.36091,-0.0577769,0.5560393,-0.1272069,0.6446643,0.64165805,2.5,6.0515,99.75,0.1,0,99,4.8,100,76.112,131960,22.7198134470951,39.066715899714
"Guatemala","LM",10.5776287396882,27.6257050023884,17.0480762627002,11.0498215457168,28.9631306947645,17.9133091490478,-0.472192806028575,-1.33742569237611,-0.865232886347538,2.93,0.0469427156700937,3692.55967409597,0.170024740219529,474.718933290733,93.0106282180273,112.446864245778,25.7,5.05,2.85930582283098,3.40250003337861,64.6157110402414,90.5963687772625,3.73849999904632,2.961555,12,3.052055,22.04574,-0.5322092,-0.697995,-0.8529245,-0.152868,-0.98912485,15.75,0.9039,51.9,0.6,0.86,93,0.6,83.5905227661133,48.2535,108890,-90.3694583605315,15.6993606120269
"Honduras","LM",7.05273681644322,13.3831155402239,6.33037872378065,7.45368643895883,14.1065304253231,6.65284398636424,-0.40094962251561,-0.723414885099194,-0.322465262583584,3.015,0.0435498683683287,1840.13967499318,0.128475904064261,509.203835087742,91.5238397515518,61.6758972822131,39.3,5.05,5.09761669374217,3.70550000667572,73.5178558206524,90.6361006322283,4.86899995803833,3.7666,18,3.40992,16.33382,-0.8920198,-0.6416873,-0.4969096,-0.2230574,-0.88748115,15.2,0.63325,65.25,0.5,1.77,97,0.8,79.6271765,51.555,112490,-86.5899638380154,14.8229470816529
"Hungary","H",2.52323634419996,4.7570204897143,2.23378414551434,2.63332673121153,4.95992420632481,2.32659747511328,-0.110090387011568,-0.20290371661051,-0.0928133295989411,1.325,0.165520130846157,22582.9036865476,0.0966750690348236,10412.0210685157,3977.24864445664,361.513846618944,22.3,0,4.53363483431561,10.6009998321533,98.0102396680652,99.9687037260161,10.2005000114441,7.72206,10.1,7.756095,4.345795,0.3656501,0.6666696,0.6857837,1.016507,0.788379,2.5,3.21175,99.35,0.1,2.3,99,7.15,100,68.6855,93030,19.3576286277459,47.1999511719543
"Iceland","H",0.952299134985164,2.22546091994718,1.27316178496202,0.972206015636709,2.30570646346113,1.33350044782443,-0.0199068806515447,-0.08024554351395,-0.0603386628624052,2.105,0.119218771076972,39125.9091556508,0.153862655064069,15485.4131794796,4784.4872846768,506.289111529008,23,0,8.69993048892457,7.39199995994568,98.78516354162,100.000001214845,6.21050000190735,7.59675,42.9,7.515255,4.148685,1.942624,1.585732,1.022254,0.9226791,1.714039,2.5,3.62865,98.5,0.1,0.07,96,3.65,100,93.5425,103000,-18.7610287708318,65.074276335291
